App,Category,Rating,Reviews,Size,Installs,Type,Price,Content Rating,Genres,Last Updated,Current Ver,Android Ver
Step By Step Hairstyles For Women,BEAUTY,4.1,66,2.9,"10,000",Free,0,Everyone,Beauty,5-Apr-18,3.1.89,4.0.3 
Rainbow Camera,BEAUTY,3.7,3871,23,"1,000,000",Free,0,Everyone,Beauty,30-Jul-18,2.2.0,4
Methods of teeth whitening,BEAUTY,4.7,257,4.6,"50,000",Free,0,Everyone,Beauty,7-Aug-17,1,4.0.3 
Girls hairstyles 2018,BEAUTY,4.2,62,3.1,"10,000",Free,0,Everyone,Beauty,28-May-18,1.9.2,4.0.3 
Wattpad 📖 Free Books,BOOKS_AND_REFERENCE,4.6,2914724,0,"100,000,000",Free,0,Teen,Books & Reference,1-Aug-18,0,0
E-Book Read - Read Book for free,BOOKS_AND_REFERENCE,4.5,1857,4.9,"50,000",Free,0,Everyone,Books & Reference,3-Aug-18,1.3.2,4.4
Download free book with green book,BOOKS_AND_REFERENCE,4.6,4478,9.5,"100,000",Free,0,Everyone 10+,Books & Reference,31-Jul-17,1.1,4
Wikipedia,BOOKS_AND_REFERENCE,4.4,577550,0,"10,000,000",Free,0,Everyone,Books & Reference,2-Aug-18,0,0
Amazon Kindle,BOOKS_AND_REFERENCE,4.2,814080,0,"100,000,000",Free,0,Teen,Books & Reference,27-Jul-18,0,0
Cool Reader,BOOKS_AND_REFERENCE,4.5,246315,0,"10,000,000",Free,0,Everyone,Books & Reference,17-Jul-15,0,1.5
Dictionary - Merriam-Webster,BOOKS_AND_REFERENCE,4.5,454060,0,"10,000,000",Free,0,Everyone,Books & Reference,18-May-18,0,0
NOOK: Read eBooks & Magazines,BOOKS_AND_REFERENCE,4.5,155446,0,"10,000,000",Free,0,Teen,Books & Reference,25-Apr-18,0,0
Free Panda Radio Music,BOOKS_AND_REFERENCE,4.5,418,4.2,"100,000",Free,0,Everyone,Books & Reference,27-Mar-18,2.1,4.1
Book store,BOOKS_AND_REFERENCE,4.4,22486,5.4,"1,000,000",Free,0,Teen,Books & Reference,6-Jun-18,3.2.1,4
FBReader: Favorite Book Reader,BOOKS_AND_REFERENCE,4.5,203130,0,"10,000,000",Free,0,Everyone,Books & Reference,28-Jun-18,0,0
English Grammar Complete Handbook,BOOKS_AND_REFERENCE,4.6,1435,2.8,"500,000",Free,0,Everyone,Books & Reference,21-Jan-18,1,4
Free Books - Spirit Fanfiction and Stories,BOOKS_AND_REFERENCE,4.8,116507,5,"1,000,000",Free,0,Teen,Books & Reference,1-Aug-18,2.0.075,4.0.3 
Google Play Books,BOOKS_AND_REFERENCE,3.9,1433233,0,"1,000,000,000",Free,0,Teen,Books & Reference,3-Aug-18,0,0
